"source","destination","targetPorts","bytesOut","bytesIn","durationSeconds","firstFlowDate","lastFlowDate","attemptCount"
"172.30.1.70","10.0.0.9",79,34894,605.9493671,62,"2013-04-03 06:55:15","2013-04-03 12:12:49",79
"172.30.1.1","10.0.0.5",69,31195,629.5362319,100,"2013-04-03 06:49:10","2013-04-03 12:12:10",69
"172.20.1.26","10.0.0.13",58,26708,617.9655172,36,"2013-04-03 06:58:11","2013-04-03 11:15:04",58
"172.10.1.1","10.0.0.14",102,46416,632.4705882,46,"2013-04-03 06:48:44","2013-04-03 15:00:41",102
"10.0.0.10","172.10.2.112",1,54,0.0,0,"2013-04-03 09:52:59","2013-04-03 09:52:59",1
"172.20.0.3","172.20.1.107",1,209,0.0,0,"2013-04-03 07:20:06","2013-04-03 07:20:06",1
"172.10.1.162","10.0.0.11",87,39628,620.4942529,24,"2013-04-03 06:50:13","2013-04-03 14:58:35",87
"172.10.1.106","10.199.250.2",40,66638,71597.1,24,"2013-04-03 07:19:02","2013-04-03 10:12:35",40
"172.10.1.81","239.255.255.250",1,525,0.0,6,"2013-04-03 06:36:27","2013-04-03 06:36:27",1
"172.30.1.10","10.0.0.12",69,31042,623.826087,25,"2013-04-03 06:48:01","2013-04-03 12:11:40",69
"172.30.2.125","10.0.0.9",69,30701,602.2898551,341,"2013-04-03 06:50:50","2013-04-03 12:12:37",69
"172.30.2.60","10.0.0.9",82,34839,581.902439,134,"2013-04-03 06:48:47","2013-04-03 12:12:37",82
"172.30.1.85","10.0.0.8",84,37828,629.3333333,3,"2013-04-03 06:48:21","2013-04-03 12:06:53",84
"10.1.0.76","172.10.1.82",1,633,392.0,0,"2013-04-03 09:55:05","2013-04-03 09:55:05",1
"172.20.1.58","10.7.5.5",49,3041309,2375521.653,2091,"2013-04-03 10:12:27","2013-04-03 11:20:09",49
"10.0.0.9","172.30.1.124",1,632,391.0,0,"2013-04-03 10:36:04","2013-04-03 10:36:04",1
"172.30.1.201","172.0.0.1",29,2610,90.0,0,"2013-04-03 00:26:46","2013-04-03 23:06:00",29
"172.30.1.56","172.0.0.1",25,3330,129.6,67,"2013-04-03 01:59:09","2013-04-03 22:05:39",25
"172.10.1.89","10.0.0.5",112,51222,627.3214286,24,"2013-04-03 06:48:24","2013-04-03 15:17:39",112
"172.10.1.234","10.0.0.5",104,47287,622.5961538,18,"2013-04-03 06:53:55","2013-04-03 15:11:07",104
"172.20.1.53","10.0.0.7",67,30526,632.0,3,"2013-04-03 06:53:22","2013-04-03 11:22:04",67
"172.30.1.158","10.0.0.5",60,27826,613.9,35,"2013-04-03 06:50:19","2013-04-03 11:54:44",60
"172.20.2.133","239.255.255.250",1,525,0.0,6,"2013-04-03 06:37:18","2013-04-03 06:37:18",1
"172.30.1.183","10.0.0.8",80,36494,628.625,10,"2013-04-03 06:49:34","2013-04-03 12:05:36",80
"172.10.0.5","224.0.0.252",1,132,0.0,0,"2013-04-03 02:59:10","2013-04-03 02:59:10",1
"10.0.0.9","172.10.2.114",1,632,367.0,0,"2013-04-03 09:53:25","2013-04-03 09:53:25",1
"172.10.1.148","10.1.0.76",65,29632,628.7230769,11,"2013-04-03 06:48:43","2013-04-03 14:52:07",65
"172.30.2.58","10.0.0.8",72,31661,601.9166667,26,"2013-04-03 06:52:53","2013-04-03 12:12:36",72
"172.10.1.110","10.0.0.11",80,36320,633.0,6,"2013-04-03 06:51:54","2013-04-03 14:49:45",80
"172.10.1.142","10.7.5.5",225,17907810,3221202.049,6740,"2013-04-03 10:15:12","2013-04-03 14:42:06",225
"172.10.2.86","10.0.0.7",105,44562,615.6380952,7,"2013-04-03 06:57:57","2013-04-03 14:55:10",105
"172.20.1.228","10.0.0.9",112,51140,631.5178571,56,"2013-04-03 06:51:58","2013-04-03 15:07:06",112
"172.30.1.12","10.0.0.8",76,34495,629.7631579,57,"2013-04-03 06:48:50","2013-04-03 12:12:13",76
"172.10.1.224","10.0.0.10",90,40980,632.4,11,"2013-04-03 06:50:56","2013-04-03 14:56:03",90
"10.0.0.11","172.20.2.99",1,633,392.0,0,"2013-04-03 10:00:10","2013-04-03 10:00:10",1
"172.30.1.234","10.0.0.13",111,50232,625.4234234,17,"2013-04-03 06:48:21","2013-04-03 15:12:53",111
"10.0.0.12","172.20.2.108",1,571,108.0,0,"2013-04-03 10:06:19","2013-04-03 10:06:19",1
"172.30.1.20","10.0.0.11",72,31692,605.2361111,96,"2013-04-03 06:48:36","2013-04-03 12:08:57",72
"172.30.1.140","10.0.0.10",67,30486,623.6716418,30,"2013-04-03 06:48:31","2013-04-03 12:00:22",67
"172.10.1.123","10.0.0.8",76,34657,632.0,13,"2013-04-03 06:53:34","2013-04-03 14:54:11",76
"172.20.1.224","10.0.0.6",113,51652,626.8849558,96,"2013-04-03 06:52:18","2013-04-03 15:04:45",113
"172.20.1.20","10.7.5.5",70,4312645,2504906.7,3593,"2013-04-03 10:11:55","2013-04-03 11:11:16",70
"10.0.0.14","172.10.1.96",1,571,108.0,0,"2013-04-03 12:33:25","2013-04-03 12:33:25",1
"172.30.1.111","10.0.0.7",64,29058,631.15625,7,"2013-04-03 06:48:05","2013-04-03 11:44:21",64
"172.30.1.232","10.0.0.5",113,51027,627.4336283,4,"2013-04-03 06:48:07","2013-04-03 15:11:06",113
"172.30.1.93","10.0.0.11",57,25878,631.1052632,18,"2013-04-03 06:48:22","2013-04-03 11:51:54",57
"172.20.2.143","10.0.0.13",77,34904,631.5974026,2,"2013-04-03 06:50:46","2013-04-03 11:12:01",77
"172.10.0.6","172.10.1.41",1,74,0.0,0,"2013-04-03 06:47:41","2013-04-03 06:47:41",1
"172.10.0.6","172.30.2.49",13,962,0.0,0,"2013-04-03 04:58:13","2013-04-03 23:16:16",13
"10.0.0.6","172.10.1.161",1,632,391.0,0,"2013-04-03 09:53:13","2013-04-03 09:53:13",1
"172.10.0.6","172.30.2.89",14,1036,0.0,0,"2013-04-03 13:01:06","2013-04-03 23:16:34",14
"172.30.1.149","10.0.0.5",90,40608,619.8444444,37,"2013-04-03 06:51:26","2013-04-03 11:48:43",90
"172.10.1.158","10.0.0.8",77,35797,632.0,31,"2013-04-03 06:51:17","2013-04-03 15:12:01",77
"10.76.187.177","172.20.0.15",785,1075628,49445.45605,288,"2013-04-03 00:12:33","2013-04-03 22:38:02",785
"172.20.0.4","172.20.1.102",24,1525818,0.0,95,"2013-04-03 07:30:19","2013-04-03 07:57:31",24
"172.20.1.72","10.0.0.10",70,31672,624.8428571,3,"2013-04-03 06:52:22","2013-04-03 11:32:08",70
"172.30.1.192","10.0.0.12",77,34972,624.8831169,21,"2013-04-03 06:48:17","2013-04-03 12:03:31",77
"172.10.1.232","10.0.0.10",89,40690,632.3932584,13,"2013-04-03 06:49:23","2013-04-03 15:10:30",89
"172.10.1.179","10.1.0.76",70,32252,623.9571429,31,"2013-04-03 06:48:44","2013-04-03 15:15:56",70
"10.0.0.10","172.10.1.212",2,687,196.0,0,"2013-04-03 09:52:10","2013-04-03 09:53:49",2
"172.10.1.105","10.7.5.5",194,15006822,3295975.278,4442,"2013-04-03 10:16:28","2013-04-03 14:29:14",194
"10.0.0.10","172.10.1.93",2,687,196.0,0,"2013-04-03 09:38:47","2013-04-03 11:21:22",2
"172.10.2.133","10.0.0.7",119,51407,628.1176471,30,"2013-04-03 06:51:36","2013-04-03 15:13:17",119
"172.10.0.6","172.10.1.222",3,222,0.0,0,"2013-04-03 04:21:00","2013-04-03 20:16:29",3
"172.10.1.37","10.0.0.14",111,50636,632.5135135,12,"2013-04-03 06:49:04","2013-04-03 15:15:09",111
"172.10.1.47","10.0.0.12",110,50400,631.6,27,"2013-04-03 06:53:34","2013-04-03 15:15:09",110
"172.10.1.191","10.0.0.8",66,29898,632.0,4,"2013-04-03 06:53:39","2013-04-03 15:06:46",66
"10.0.0.5","172.20.2.144",1,632,391.0,0,"2013-04-03 10:44:29","2013-04-03 10:44:29",1
"10.1.0.76","172.30.2.138",1,633,392.0,0,"2013-04-03 10:28:29","2013-04-03 10:28:29",1
"172.30.1.31","239.255.255.250",31,6475,0.0,18,"2013-04-03 06:35:21","2013-04-03 06:44:08",31
"172.30.1.145","10.0.0.5",76,33926,607.8684211,27,"2013-04-03 06:48:11","2013-04-03 12:00:04",76
"172.20.1.52","10.0.0.5",63,28269,613.7777778,10,"2013-04-03 06:58:12","2013-04-03 11:20:03",63
"172.20.2.64","10.0.0.13",64,29056,633.0,0,"2013-04-03 06:51:00","2013-04-03 11:17:08",64
"172.10.1.26","10.0.0.13",109,49844,617.706422,59,"2013-04-03 06:52:02","2013-04-03 14:40:30",109
"172.30.2.58","10.0.0.6",72,32470,613.6944444,25,"2013-04-03 06:48:32","2013-04-03 12:04:07",72
"172.30.1.73","10.0.0.11",81,36312,624.4197531,82,"2013-04-03 06:47:57","2013-04-03 12:10:00",81
"172.30.2.93","10.0.0.10",75,31618,571.1466667,7,"2013-04-03 06:50:04","2013-04-03 12:12:36",75
"172.20.1.80","10.0.0.11",66,29748,617.2121212,17,"2013-04-03 06:51:28","2013-04-03 11:08:11",66
"172.30.1.150","10.0.0.14",74,33934,632.2702703,20,"2013-04-03 06:47:57","2013-04-03 11:43:34",74
"10.7.5.5","172.20.1.95",2,5723116,67028.0,59,"2013-04-03 10:11:31","2013-04-03 10:59:14",2
"172.10.1.47","239.255.255.250",6,1400,0.0,6,"2013-04-03 06:36:20","2013-04-03 06:36:27",6
"172.10.1.68","10.0.0.7",125,56867,626.576,23,"2013-04-03 06:48:36","2013-04-03 14:57:10",125
"172.30.2.99","239.255.255.250",21,4025,0.0,6,"2013-04-03 06:36:06","2013-04-03 06:36:15",21
"172.20.0.3","172.20.1.106",1,317,0.0,0,"2013-04-03 07:22:32","2013-04-03 07:22:32",1
"172.30.1.108","10.0.0.6",72,32737,631.25,5,"2013-04-03 06:48:48","2013-04-03 11:46:24",72
"172.20.2.79","10.0.0.12",74,33373,617.4594595,20,"2013-04-03 06:49:10","2013-04-03 11:22:16",74
"172.20.1.250","10.0.0.12",122,56416,632.1147541,82,"2013-04-03 06:49:53","2013-04-03 15:01:13",122
"172.20.1.35","10.0.0.11",62,28378,632.1290323,9,"2013-04-03 06:49:03","2013-04-03 11:08:50",62
"10.0.0.6","172.20.2.134",1,632,391.0,0,"2013-04-03 10:49:31","2013-04-03 10:49:31",1
"172.30.1.174","10.0.0.6",64,28605,622.125,4,"2013-04-03 06:49:49","2013-04-03 11:57:54",64
"172.20.2.110","10.0.0.7",57,25333,612.0,14,"2013-04-03 06:49:22","2013-04-03 10:58:04",57
"172.10.1.63","10.0.0.14",112,51254,628.3839286,40,"2013-04-03 06:49:11","2013-04-03 15:05:46",112
"172.30.2.117","10.0.0.11",71,31956,618.7605634,164,"2013-04-03 06:49:15","2013-04-03 12:04:07",71
"10.1.0.76","172.10.1.60",1,571,108.0,0,"2013-04-03 10:50:41","2013-04-03 10:50:41",1
"10.0.0.7","172.20.2.89",1,570,108.0,2,"2013-04-03 10:28:24","2013-04-03 10:28:24",1
"172.10.1.149","10.0.0.8",77,35285,631.2987013,12,"2013-04-03 06:49:04","2013-04-03 14:54:14",77
"172.30.2.68","239.255.255.250",6,1400,0.0,6,"2013-04-03 06:36:08","2013-04-03 06:36:15",6
"10.0.0.9","172.10.2.50",1,632,367.0,0,"2013-04-03 10:40:17","2013-04-03 10:40:17",1
"10.0.0.7","172.30.1.32",3,1834,296.6666667,0,"2013-04-03 09:51:01","2013-04-03 10:26:39",3
"10.0.0.8","172.10.1.45",1,632,391.0,0,"2013-04-03 10:40:38","2013-04-03 10:40:38",1
